column_id,text,label,reason
stock_col_49,677,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_49,2197,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_49,758,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_50,100,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_50,2846,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_50,912,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_51,2046,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_51,2136,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_51,2318,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_52,1278,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_54,2649,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_54,2230,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_54,2393,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_54,507,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_55,2437,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_55,3015,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_55,2366,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_56,2786,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_56,2863,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_56,2128,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_57,2562,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_58,2057,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_59,1234,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_60,2390,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_60,2664,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_60,2098,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_60,541,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_61,2889,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_63,2073,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_63,2310,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_64,2596,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_64,2040,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_64,2342,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_65,2613,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_65,2809,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_65,1203,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_65,921,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_66,2412,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_66,2737,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_66,897,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_67,876,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_67,2801,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_67,3001,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_67,676,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_70,19,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_70,2050,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_71,2975,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_71,6,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_72,2936,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_72,2251,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_72,2731,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_73,2075,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_73,2368,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_74,997,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_74,2498,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_74,2841,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_75,2144,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_75,2785,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_76,1979,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_76,598,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_76,88,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_77,720,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_78,2155,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_79,2436,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_79,2918,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_80,2437,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_80,2882,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_80,2380,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_81,2495,STOCK_CODE,not_6_digit_stock_fund_code
stock_col_81,520,STOCK_CODE,not_6_digit_stock_fund_code
